customer_id,customer_name,region,city,signup_date
CUST00001,Customer 1,Central,Nagpur,2023-06-04
CUST00002,Customer 2,East,Bhubaneswar,2025-06-07
CUST00003,Customer 3,Central,Kanpur,2023-12-15
CUST00004,Customer 4,East,Patna,2024-03-26
CUST00005,Customer 5,West,Pune,2025-05-25
CUST00006,Customer 6,Central,Kanpur,2024-10-14
CUST00007,Customer 7,West,Surat,2023-06-22
CUST00008,Customer 8,South,Chennai,2023-01-10
CUST00009,Customer 9,South,Hyderabad,2025-01-09
CUST00010,Customer 10,North,Chandigarh,2023-09-22
CUST00011,Customer 11,Central,Nagpur,2024-03-13
CUST00012,Customer 12,West,Mumbai,2025-01-29
CUST00013,Customer 13,East,Bhubaneswar,2023-09-04
CUST00014,Customer 14,South,Kochi,2024-10-28
CUST00015,Customer 15,South,Hyderabad,2024-06-29
CUST00016,Customer 16,East,Bhubaneswar,2024-05-13
CUST00017,Customer 17,West,Ahmedabad,2023-05-09
CUST00018,Customer 18,West,Surat,2024-11-02
CUST00019,Customer 19,Central,Indore,2024-08-23
CUST00020,Customer 20,Central,Kanpur,2024-08-27
CUST00021,Customer 21,North,Lucknow,2023-11-23
CUST00022,Customer 22,South,Chennai,2025-01-22
CUST00023,Customer 23,Central,Indore,2025-04-14
CUST00024,Customer 24,West,Ahmedabad,2024-02-08
CUST00025,Customer 25,East,Kolkata,2024-09-20
CUST00026,Customer 26,West,Ahmedabad,2024-08-28
CUST00027,Customer 27,South,Hyderabad,2024-11-05
CUST00028,Customer 28,West,Surat,2024-09-02
CUST00029,Customer 29,North,Chandigarh,2024-09-16
CUST00030,Customer 30,South,Chennai,2023-12-25
CUST00031,Customer 31,East,Ranchi,2024-08-25
CUST00032,Customer 32,North,Chandigarh,2025-05-07
CUST00033,Customer 33,South,Kochi,2024-12-18
CUST00034,Customer 34,East,Ranchi,2023-01-17
CUST00035,Customer 35,North,Delhi,2023-10-01
CUST00036,Customer 36,North,Chandigarh,2024-11-15
CUST00037,Customer 37,South,Bengaluru,2023-04-26
