order_id,order_date,customer_id,product_id,quantity,discount_pct,unit_price,sales,cost,profit,payment_method,order_status,delivery_days,product_name,category,subcategory,base_price,customer_name,region,city,signup_date,year,month,month_name
ORD000001,2025-05-20,CUST00860,PROD0081,1,0.1,335.54,301.99,217.37,84.62,Debit Card,Cancelled,,Accessories Product 81,Electronics,Accessories,335.69,Customer 860,West,Mumbai,2024-07-27,2025,5,May
ORD000002,2025-08-25,CUST01210,PROD0117,2,0.15,265.88,452.0,361.92,90.08,Credit Card,Delivered,2.0,Furniture Product 117,Home & Kitchen,Furniture,272.76,Customer 1210,East,Kolkata,2024-08-29,2025,8,Aug
ORD000003,2025-03-13,CUST01277,PROD0038,1,0.0,690.85,690.85,528.37,162.48,Net Banking,Delivered,4.0,Laptops Product 38,Electronics,Laptops,723.36,Customer 1277,Central,Kanpur,2024-04-15,2025,3,Mar
ORD000004,2025-06-04,CUST00013,PROD0099,4,0.0,192.37,769.48,556.81,212.67,UPI,Returned,4.0,Fitness Product 99,Sports,Fitness,192.87,Customer 13,East,Bhubaneswar,2023-09-04,2025,6,Jun
ORD000005,2025-07-09,CUST00299,PROD0111,3,0.1,71.89,194.1,113.59,80.51,Net Banking,Returned,5.0,Fiction Product 111,Books,Fiction,64.59,Customer 299,North,Delhi,2024-07-08,2025,7,Jul
ORD000006,2025-09-25,CUST01100,PROD0103,2,0.05,38.14,72.47,47.83,24.64,UPI,Delivered,4.0,Women Product 103,Fashion,Women,39.19,Customer 1100,South,Chennai,2024-07-16,2025,9,Sep
ORD000007,2025-11-17,CUST01075,PROD0094,1,0.25,26.83,20.12,11.95,8.17,Debit Card,Delivered,4.0,Footwear Product 94,Fashion,Footwear,27.18,Customer 1075,South,Bengaluru,2023-05-18,2025,11,Nov
ORD000008,2025-04-17,CUST00787,PROD0006,3,0.1,77.47,209.17,137.5,71.67,Credit Card,Delivered,2.0,Decor Product 6,Home & Kitchen,Decor,78.58,Customer 787,West,Ahmedabad,2024-06-24,2025,4,Apr
ORD000009,2025-08-20,CUST00149,PROD0068,1,0.0,99.63,99.63,59.28,40.35,Debit Card,Delivered,1.0,Kitchen Product 68,Home & Kitchen,Kitchen,98.06,Customer 149,North,Chandigarh,2024-05-29,2025,8,Aug
ORD000010,2025-02-11,CUST00122,PROD0051,4,0.1,199.78,719.21,446.11,273.1,Credit Card,Delivered,7.0,Furniture Product 51,Home & Kitchen,Furniture,183.5,Customer 122,South,Bengaluru,2024-04-15,2025,2,Feb
ORD000011,2025-07-09,CUST01235,PROD0101,2,0.05,323.03,613.76,416.48,197.28,Net Banking,Delivered,3.0,Laptops Product 101,Electronics,Laptops,322.89,Customer 1235,West,Pune,2024-12-28,2025,7,Jul
ORD000012,2025-05-19,CUST01304,PROD0035,4,0.0,34.11,136.44,96.0,40.44,UPI,Delivered,3.0,Footwear Product 35,Fashion,Footwear,31.55,Customer 1304,Central,Indore,2024-03-14,2025,5,May
ORD000013,2025-04-13,CUST00538,PROD0058,1,0.05,182.9,173.76,109.84,63.92,UPI,Delivered,1.0,Footwear Product 58,Fashion,Footwear,193.95,Customer 538,West,Pune,2023-10-31,2025,4,Apr
ORD000014,2025-06-20,CUST01180,PROD0057,4,0.25,33.98,101.94,77.05,24.89,UPI,Delivered,2.0,Fitness Product 57,Sports,Fitness,30.92,Customer 1180,North,Jaipur,2023-10-23,2025,6,Jun
