product_id,product_name,category,subcategory,base_price
PROD0001,Kitchen Product 1,Home & Kitchen,Kitchen,394.25
PROD0002,Decor Product 2,Home & Kitchen,Decor,29.88
PROD0003,Accessories Product 3,Electronics,Accessories,564.08
PROD0004,Technology Product 4,Books,Technology,10.88
PROD0005,Men Product 5,Fashion,Men,236.42
PROD0006,Decor Product 6,Home & Kitchen,Decor,78.58
PROD0007,Haircare Product 7,Beauty,Haircare,15.32
PROD0008,Decor Product 8,Home & Kitchen,Decor,462.5
PROD0009,Furniture Product 9,Home & Kitchen,Furniture,301.64
PROD0010,Smartphones Product 10,Electronics,Smartphones,888.66
PROD0011,Skincare Product 11,Beauty,Skincare,165.54
PROD0012,Audio Product 12,Electronics,Audio,304.0
PROD0013,Laptops Product 13,Electronics,Laptops,769.31
PROD0014,Accessories Product 14,Electronics,Accessories,128.33
PROD0015,Kitchen Product 15,Home & Kitchen,Kitchen,117.47
PROD0016,Women Product 16,Fashion,Women,203.86
PROD0017,Equipment Product 17,Sports,Equipment,15.15
PROD0018,Furniture Product 18,Home & Kitchen,Furniture,220.36
PROD0019,Decor Product 19,Home & Kitchen,Decor,213.84
PROD0020,Skincare Product 20,Beauty,Skincare,95.46
PROD0021,Technology Product 21,Books,Technology,13.01
PROD0022,Kitchen Product 22,Home & Kitchen,Kitchen,196.54
PROD0023,Equipment Product 23,Sports,Equipment,77.77
PROD0024,Equipment Product 24,Sports,Equipment,281.97
PROD0025,Kitchen Product 25,Home & Kitchen,Kitchen,279.9
PROD0026,Men Product 26,Fashion,Men,225.85
PROD0027,Decor Product 27,Home & Kitchen,Decor,431.04
PROD0028,Equipment Product 28,Sports,Equipment,16.44
PROD0029,Women Product 29,Fashion,Women,56.34
PROD0030,Decor Product 30,Home & Kitchen,Decor,335.65
PROD0031,Furniture Product 31,Home & Kitchen,Furniture,253.64
PROD0032,Skincare Product 32,Beauty,Skincare,14.13
PROD0033,Business Product 33,Books,Business,42.27
PROD0034,Accessories Product 34,Fashion,Accessories,105.5
PROD0035,Footwear Product 35,Fashion,Footwear,31.55
PROD0036,Furniture Product 36,Home & Kitchen,Furniture,375.57
PROD0037,Sportswear Product 37,Sports,Sportswear,193.95
PROD0038,Laptops Product 38,Electronics,Laptops,723.36
PROD0039,Smartphones Product 39,Electronics,Smartphones,169.11
PROD0040,Appliances Product 40,Home & Kitchen,Appliances,270.68
PROD0041,Accessories Product 41,Electronics,Accessories,390.82
PROD0042,Accessories Product 42,Electronics,Accessories,269.27
PROD0043,Skincare Product 43,Beauty,Skincare,50.76
PROD0044,Business Product 44,Books,Business,23.36
PROD0045,Kitchen Product 45,Home & Kitchen,Kitchen,184.1
PROD0046,Accessories Product 46,Electronics,Accessories,119.63
PROD0047,Men Product 47,Fashion,Men,18.6
